"","site_code","trt","year","block","plot","plot_id","bray_mean_null","bray_sd_null","bray","z_score"
"1","arch.us","Control","2015","1"," 1","arch.us_Control_2015_1_ 1",0.818219178082192,0.110893287077549,0.493150684931507,-2.9313631304243
"2","arch.us","Control","2015","2","11","arch.us_Control_2015_2_11",0.557818181818182,0.0790899063719514,0.301818181818182,-3.23682264581348
"3","arch.us","Control","2015","3","21","arch.us_Control_2015_3_21",0.643694779116466,0.0839822842715013,0.236947791164659,-4.84324749535103
"4","arch.us","Control","2016","1"," 1","arch.us_Control_2016_1_ 1",0.567785234899329,0.131405477273175,0.463087248322148,-0.796755118202017
"5","arch.us","Control","2016","2","11","arch.us_Control_2016_2_11",0.608847184986595,0.0913688045226597,0.361930294906166,-2.70242005868855
"6","arch.us","Control","2016","3","21","arch.us_Control_2016_3_21",0.662181818181818,0.115489716485528,0.248484848484848,-3.58211087780106
"7","arch.us","Control","2017","1"," 1","arch.us_Control_2017_1_ 1",0.739765395894428,0.252473651167379,0.161290322580645,-2.29122948331063
"8","arch.us","Control","2017","2","11","arch.us_Control_2017_2_11",0.546470588235294,0.0808376422633461,0.308823529411765,-2.93980690393397
"9","arch.us","Control","2017","3","21","arch.us_Control_2017_3_21",0.6256,0.0904793073056213,0.34,-3.15652283936369
"10","arch.us","Control","2018","1"," 1","arch.us_Control_2018_1_ 1",0.774736842105263,0.235541944957959,0.147368421052632,-2.66351040433417
"11","arch.us","Control","2018","2","11","arch.us_Control_2018_2_11",0.55367816091954,0.0879946218263493,0.183908045977011,-4.20218994374727
"12","arch.us","Control","2018","3","21","arch.us_Control_2018_3_21",0.638909090909091,0.148716559897308,0.284848484848485,-2.38077458425002
"13","arch.us","Control","2019","1"," 1","arch.us_Control_2019_1_ 1",0.703148148148148,0.330473190990674,0.0462962962962963,-1.98761009896984
"14","arch.us","Control","2019","2","11","arch.us_Control_2019_2_11",0.651818181818182,0.11892557516538,0.159090909090909,-4.14315652492811
"15","arch.us","Control","2019","3","21","arch.us_Control_2019_3_21",0.671842105263158,0.157715430707646,0.171052631578947,-3.17527252366647
"16","arch.us","Control","2020","1"," 1","arch.us_Control_2020_1_ 1",0.647538461538462,0.138506338258767,0.276923076923077,-2.67580090033841
"17","arch.us","Control","2020","2","11","arch.us_Control_2020_2_11",0.636774193548387,0.0873997602180272,0.338709677419355,-3.41035851111583
"18","arch.us","Control","2020","3","21","arch.us_Control_2020_3_21",0.720330578512397,0.144586806741746,0.305785123966942,-2.86710429455639
"19","arch.us","NPK","2015","1"," 8","arch.us_NPK_2015_1_ 8",0.656452599388379,0.110184562580044,0.198776758409786,-4.15372017877833
"20","arch.us","NPK","2015","2","18","arch.us_NPK_2015_2_18",0.603114754098361,0.117003414232112,0.19672131147541,-3.47334687017548
"21","arch.us","NPK","2015","3","28","arch.us_NPK_2015_3_28",0.731618037135279,0.0836427939876216,0.246684350132626,-5.79767441860465
"22","arch.us","NPK","2016","1"," 8","arch.us_NPK_2016_1_ 8",0.802234042553192,0.124360489202644,0.287234042553192,-4.14118666870804
"23","arch.us","NPK","2016","2","18","arch.us_NPK_2016_2_18",0.567263157894737,0.0865684635625039,0.4,-1.93214885665575
"24","arch.us","NPK","2016","3","28","arch.us_NPK_2016_3_28",0.733994910941476,0.111194614221938,0.44529262086514,-2.59636936641646
"25","arch.us","NPK","2017","1"," 8","arch.us_NPK_2017_1_ 8",0.645402843601896,0.202360166479421,0.137440758293839,-2.51018811728302
"26","arch.us","NPK","2017","2","18","arch.us_NPK_2017_2_18",0.717478991596639,0.151122648891884,0.285714285714286,-2.85704829188936
"27","arch.us","NPK","2017","3","28","arch.us_NPK_2017_3_28",0.782487562189055,0.131952075406576,0.442786069651741,-2.57443084158102
"28","arch.us","NPK","2018","1"," 8","arch.us_NPK_2018_1_ 8",0.701018518518519,0.195323379153439,0.157407407407407,-2.78313386481027
"29","arch.us","NPK","2018","2","18","arch.us_NPK_2018_2_18",0.662686567164179,0.109205757283126,0.462686567164179,-1.83140527546988
"30","arch.us","NPK","2018","3","28","arch.us_NPK_2018_3_28",0.6853125,0.147286344609749,0.34375,-2.31903711715439
"31","arch.us","NPK","2019","1"," 8","arch.us_NPK_2019_1_ 8",0.730714285714286,0.22812822843643,0.0918367346938776,-2.80051949466849
"32","arch.us","NPK","2019","2","18","arch.us_NPK_2019_2_18",0.702631578947368,0.163219620983158,0.347368421052632,-2.17659590038746
"33","arch.us","NPK","2019","3","28","arch.us_NPK_2019_3_28",0.71696682464455,0.17908168500333,0.251184834123223,-2.60094710697337
"34","arch.us","NPK","2020","1"," 8","arch.us_NPK_2020_1_ 8",0.845528455284553,0.0980660872343764,0.51219512195122,-3.39906835006756
"35","arch.us","NPK","2020","2","18","arch.us_NPK_2020_2_18",0.512932330827068,0.112061087016406,0.338345864661654,-1.5579579924997
"36","arch.us","NPK","2020","3","28","arch.us_NPK_2020_3_28",0.702962962962963,0.136746033322794,0.466666666666667,-1.72799378932265
"37","bayr.de","Control","2017","1"," 9","bayr.de_Control_2017_1_ 9",0.821220338983051,0.0876435668815688,0.524576271186441,-3.38466448082219
"38","bayr.de","Control","2017","2","14","bayr.de_Control_2017_2_14",0.777899045020464,0.10778173712039,0.235106866757617,-5.03603108248811
"39","bayr.de","Control","2017","3","26","bayr.de_Control_2017_3_26",0.737592407592407,0.101861694381683,0.59040959040959,-1.44492802791315
"40","bayr.de","Control","2018","1"," 9","bayr.de_Control_2018_1_ 9",0.705025641025641,0.0639453342399354,0.528205128205128,-2.76518240028347
"41","bayr.de","Control","2018","2","14","bayr.de_Control_2018_2_14",0.789428571428571,0.041345141649197,0.685714285714286,-2.50849994890027
"42","bayr.de","Control","2018","3","26","bayr.de_Control_2018_3_26",0.63888,0.0570013786826001,0.44,-3.48903841620078
"43","bayr.de","Control","2019","1"," 9","bayr.de_Control_2019_1_ 9",0.644246575342466,0.0785468973606458,0.410958904109589,-2.97004310891802
"44","bayr.de","Control","2019","2","14","bayr.de_Control_2019_2_14",0.782574257425743,0.11411803562532,0.267326732673267,-4.51504025572409
"45","bayr.de","Control","2019","3","26","bayr.de_Control_2019_3_26",0.603333333333333,0.129738742990259,0.333333333333333,-2.08110541058866
"46","bayr.de","Control","2020","1"," 9","bayr.de_Control_2020_1_ 9",0.754130434782609,0.124429729699301,0.619565217391304,-1.08145551482349
"47","bayr.de","Control","2020","2","14","bayr.de_Control_2020_2_14",0.894508894044857,0.1430559206852,0.474091260634184,-2.93883420830808
"48","bayr.de","Control","2020","3","26","bayr.de_Control_2020_3_26",0.743641585295807,0.129185453245181,0.368179207352096,-2.90638278933094
"49","bayr.de","NPK","2017","1","10","bayr.de_NPK_2017_1_10",0.823429416112343,0.167355232430515,0.339985218033998,-2.88873070209543
"50","bayr.de","NPK","2017","2","16","bayr.de_NPK_2017_2_16",0.832043561819347,0.120386263654404,0.577194106342088,-2.11693134865338
"51","bayr.de","NPK","2017","3","23","bayr.de_NPK_2017_3_23",0.738545081967213,0.0939700016962332,0.603142076502732,-1.44091734617803
"52","bayr.de","NPK","2018","1","10","bayr.de_NPK_2018_1_10",0.804978540772532,0.110741610490971,0.44206008583691,-3.27716432266633
"53","bayr.de","NPK","2018","2","16","bayr.de_NPK_2018_2_16",0.765320197044335,0.0891538327635271,0.645320197044335,-1.34598812277975
"54","bayr.de","NPK","2018","3","23","bayr.de_NPK_2018_3_23",0.775706214689266,0.0525193259137794,0.581920903954802,-3.68979051735355
"55","bayr.de","NPK","2019","1","10","bayr.de_NPK_2019_1_10",0.7957805907173,0.150753137411028,0.223628691983122,-3.7952901582022
"56","bayr.de","NPK","2019","2","16","bayr.de_NPK_2019_2_16",0.525851063829787,0.103521090308946,0.393617021276596,-1.27736330981981
"57","bayr.de","NPK","2019","3","23","bayr.de_NPK_2019_3_23",0.7335,0.0965451168933965,0.4125,-3.3248703852567
"58","bayr.de","NPK","2020","1","10","bayr.de_NPK_2020_1_10",0.847189597315436,0.15274095550887,0.151845637583893,-4.5524395039624
"59","bayr.de","NPK","2020","2","16","bayr.de_NPK_2020_2_16",0.776102564102564,0.136651516984444,0.353846153846154,-3.09002358389097
"60","bayr.de","NPK","2020","3","23","bayr.de_NPK_2020_3_23",0.857847295864263,0.127133900504785,0.352067868504772,-3.97832069456922
"61","burrawan.au","Control","2009","1"," 1","burrawan.au_Control_2009_1_ 1",0.758474576271186,0.149969262426085,0.322033898305085,-2.91020086986964
"62","burrawan.au","Control","2009","2","20","burrawan.au_Control_2009_2_20",0.759555555555556,0.159822198252452,0.377777777777778,-2.38876565303356
"63","burrawan.au","Control","2009","3","24","burrawan.au_Control_2009_3_24",0.818421052631579,0.145802226539341,0.5,-2.18392448585592
"64","burrawan.au","Control","2010","1"," 1","burrawan.au_Control_2010_1_ 1",0.834929577464789,0.132851557866503,0.52112676056338,-2.36205598143408
"65","burrawan.au","Control","2010","2","20","burrawan.au_Control_2010_2_20",0.835074626865672,0.138791703826501,0.417910447761194,-3.00568526506427
"66","burrawan.au","Control","2010","3","24","burrawan.au_Control_2010_3_24",0.817719298245614,0.158177921570986,0.333333333333333,-3.06228555857526
"67","burrawan.au","Control","2011","1"," 1","burrawan.au_Control_2011_1_ 1",0.797247706422018,0.163957002577004,0.44954128440367,-2.12071711822765
"68","burrawan.au","Control","2011","2","20","burrawan.au_Control_2011_2_20",0.759238095238095,0.198863349693687,0.152380952380952,-3.05162888884199
"69","burrawan.au","Control","2011","3","24","burrawan.au_Control_2011_3_24",0.813081081081081,0.159058811772276,0.264864864864865,-3.44662587446646
"70","burrawan.au","Control","2012","1"," 1","burrawan.au_Control_2012_1_ 1",0.837080291970803,0.191668425964981,0.109489051094891,-3.79609336912303
"71","burrawan.au","Control","2012","2","20","burrawan.au_Control_2012_2_20",0.858947368421053,0.25299285234263,0.111111111111111,-2.95595804539625
"72","burrawan.au","Control","2012","3","24","burrawan.au_Control_2012_3_24",0.868467153284672,0.168409651960329,0.197080291970803,-3.98662934991412
"73","burrawan.au","Control","2013","1"," 1","burrawan.au_Control_2013_1_ 1",0.797658536585366,0.201452468046352,0.346341463414634,-2.24031543295309
"74","burrawan.au","Control","2013","2","20","burrawan.au_Control_2013_2_20",0.786038543897216,0.192918778850201,0.100642398286938,-3.55277049593228
"75","burrawan.au","Control","2013","3","24","burrawan.au_Control_2013_3_24",0.742061762034514,0.211335558594776,0.127157129881926,-2.90961273266669
"76","burrawan.au","Control","2017","1"," 1","burrawan.au_Control_2017_1_ 1",0.847797147385103,0.0778028306809877,0.871632329635499,0.306353664021898
"77","burrawan.au","Control","2017","2","20","burrawan.au_Control_2017_2_20",0.847567567567567,0.248681881243677,0.113513513513514,-2.95177939937961
"78","burrawan.au","Control","2017","3","24","burrawan.au_Control_2017_3_24",0.839507133592737,0.236270091397355,0.169909208819715,-2.83403591547651
"79","burrawan.au","Control","2018","1"," 1","burrawan.au_Control_2018_1_ 1",0.725572139303483,0.236339931468174,0.213930348258706,-2.16485545995716
"80","burrawan.au","Control","2018","2","20","burrawan.au_Control_2018_2_20",0.903198118753674,0.23181885594426,0.176954732510288,-3.13280549714217
"81","burrawan.au","Control","2018","3","24","burrawan.au_Control_2018_3_24",0.881673360107095,0.221824829886489,0.195448460508701,-3.09354412646026
"82","burrawan.au","NPK","2009","1"," 3","burrawan.au_NPK_2009_1_ 3",0.647560975609756,0.114577520571076,0.48780487804878,-1.39430576577955
"83","burrawan.au","NPK","2009","2","16","burrawan.au_NPK_2009_2_16",0.845794392523364,0.174886688837004,0.233644859813084,-3.50026372379209
"84","burrawan.au","NPK","2009","3","28","burrawan.au_NPK_2009_3_28",0.806,0.177485871459959,0.233333333333333,-3.22654790466441
"85","burrawan.au","NPK","2010","1"," 3","burrawan.au_NPK_2010_1_ 3",0.763,0.0741517690179058,0.575,-2.53534072740197
"86","burrawan.au","NPK","2010","2","16","burrawan.au_NPK_2010_2_16",0.84986301369863,0.22969212507042,0.10958904109589,-3.22289661596271
"87","burrawan.au","NPK","2010","3","28","burrawan.au_NPK_2010_3_28",0.789428571428572,0.0826937733601865,0.571428571428571,-2.63623234424756
"88","burrawan.au","NPK","2011","1"," 3","burrawan.au_NPK_2011_1_ 3",0.896564417177914,0.0849595090381378,0.619631901840491,-3.25958234072551
"89","burrawan.au","NPK","2011","2","16","burrawan.au_NPK_2011_2_16",0.884660194174757,0.232880059383695,0.155339805825243,-3.13174253853946
"90","burrawan.au","NPK","2011","3","28","burrawan.au_NPK_2011_3_28",0.727612903225806,0.127153411254234,0.406451612903226,-2.52577801220324
"91","burrawan.au","NPK","2012","1"," 3","burrawan.au_NPK_2012_1_ 3",0.820516129032258,0.101535442968202,0.574193548387097,-2.42597632358094
"92","burrawan.au","NPK","2012","2","16","burrawan.au_NPK_2012_2_16",0.720441988950276,0.37534083243918,0.0828729281767956,-1.69864029082632
"93","burrawan.au","NPK","2012","3","28","burrawan.au_NPK_2012_3_28",0.770634920634921,0.148446326053734,0.365079365079365,-2.73200129862934
"94","burrawan.au","NPK","2013","1"," 3","burrawan.au_NPK_2013_1_ 3",0.90625,0.107762280610958,0.796875,-1.01496552764009
"95","burrawan.au","NPK","2013","3","28","burrawan.au_NPK_2013_3_28",0.799819004524887,0.155949200940902,0.384615384615385,-2.6624286460233
"96","burrawan.au","NPK","2017","1"," 3","burrawan.au_NPK_2017_1_ 3",0.78873417721519,0.140423367830082,0.531645569620253,-1.83081072308439
"97","burrawan.au","NPK","2017","2","16","burrawan.au_NPK_2017_2_16",0.87406881485527,0.280981380464398,0.115237575095576,-2.70064599478271
"98","burrawan.au","NPK","2017","3","28","burrawan.au_NPK_2017_3_28",0.877925736235595,0.138040002956656,0.449423815620999,-3.10418655054031
"99","burrawan.au","NPK","2018","1"," 3","burrawan.au_NPK_2018_1_ 3",0.701639344262295,0.143563282296816,0.562841530054645,-0.966805801504918
"100","burrawan.au","NPK","2018","3","28","burrawan.au_NPK_2018_3_28",0.813821391484943,0.246714543500266,0.26791277258567,-2.21271357235041
"101","cereep.fr","Control","2014","1"," 1","cereep.fr_Control_2014_1_ 1",0.72297520661157,0.096854084940999,0.413223140495868,-3.19813115063133
"102","cereep.fr","Control","2014","2","11","cereep.fr_Control_2014_2_11",0.752062663185379,0.127763056824279,0.315926892950392,-3.41362973832752
"103","cereep.fr","Control","2014","3","21","cereep.fr_Control_2014_3_21",0.704985673352436,0.104663431792453,0.300859598853868,-3.86119648073405
"104","cereep.fr","Control","2015","1"," 1","cereep.fr_Control_2015_1_ 1",0.722986111111111,0.150425387045875,0.291666666666667,-2.86733145857159
"105","cereep.fr","Control","2015","2","11","cereep.fr_Control_2015_2_11",0.67910780669145,0.0891236516492972,0.390334572490706,-3.24014140866973
"106","cereep.fr","Control","2015","3","21","cereep.fr_Control_2015_3_21",0.766130268199234,0.190515238450957,0.325670498084291,-2.31193984111842
"107","cereep.fr","Control","2016","1"," 1","cereep.fr_Control_2016_1_ 1",0.829439528023599,0.129736871091574,0.392330383480826,-3.36919752160696
"108","cereep.fr","Control","2016","2","11","cereep.fr_Control_2016_2_11",0.758061674008811,0.105202127088927,0.559471365638767,-1.88770240550532
"109","cereep.fr","Control","2016","3","21","cereep.fr_Control_2016_3_21",0.853478260869565,0.14541558870812,0.391304347826087,-3.17829688790216
"110","cereep.fr","Control","2017","1"," 1","cereep.fr_Control_2017_1_ 1",0.809464668094218,0.153476443944173,0.276231263383298,-3.47436643049199
"111","cereep.fr","Control","2017","2","11","cereep.fr_Control_2017_2_11",0.875272727272727,0.13395223253478,0.427272727272727,-3.34447579948829
"112","cereep.fr","Control","2017","3","21","cereep.fr_Control_2017_3_21",0.815522388059701,0.103187408316145,0.422885572139304,-3.80508457696155
"113","cereep.fr","Control","2019","1"," 1","cereep.fr_Control_2019_1_ 1",0.790175438596491,0.224826693672142,0.181286549707602,-2.70825887684322
"114","cereep.fr","Control","2019","2","11","cereep.fr_Control_2019_2_11",0.883488372093023,0.110051461446403,0.465116279069767,-3.80160415431657
"115","cereep.fr","Control","2019","3","21","cereep.fr_Control_2019_3_21",0.774193548387097,0.0875811687224482,0.52258064516129,-2.8729110024004
"116","cereep.fr","Control","2020","1"," 1","cereep.fr_Control_2020_1_ 1",0.871944444444444,0.207661676585354,0.0925925925925926,-3.75298834463334
"117","cereep.fr","Control","2020","2","11","cereep.fr_Control_2020_2_11",0.652068965517241,0.13685144863638,0.229885057471264,-3.08497945949946
"118","cereep.fr","Control","2020","3","21","cereep.fr_Control_2020_3_21",0.682243902439024,0.067752128094843,0.502439024390244,-2.65386317898501
"119","cereep.fr","NPK","2014","1"," 8","cereep.fr_NPK_2014_1_ 8",0.773624454148471,0.114565162089644,0.589519650655022,-1.60698767527071
"120","cereep.fr","NPK","2014","2","18","cereep.fr_NPK_2014_2_18",0.772059701492537,0.111995077807167,0.426865671641791,-3.0822250103268
"121","cereep.fr","NPK","2014","3","28","cereep.fr_NPK_2014_3_28",0.712716049382716,0.110040497496374,0.358024691358025,-3.22328021132746
"122","cereep.fr","NPK","2015","1"," 8","cereep.fr_NPK_2015_1_ 8",0.732878787878788,0.126026500972681,0.507575757575758,-1.78774328069197
"123","cereep.fr","NPK","2015","2","18","cereep.fr_NPK_2015_2_18",0.71030534351145,0.0878666821269973,0.587786259541985,-1.39437476189647
"124","cereep.fr","NPK","2015","3","28","cereep.fr_NPK_2015_3_28",0.738680555555556,0.128715720044385,0.236111111111111,-3.90449157469767
"125","cereep.fr","NPK","2016","1"," 8","cereep.fr_NPK_2016_1_ 8",0.807129337539432,0.082350407056005,0.722397476340694,-1.02891854731347
"126","cereep.fr","NPK","2016","2","18","cereep.fr_NPK_2016_2_18",0.78,0.0778073790317539,0.823788546255507,0.56278140711611
"127","cereep.fr","NPK","2016","3","28","cereep.fr_NPK_2016_3_28",0.791578947368421,0.129373672301875,0.206477732793522,-4.52256787771819
"128","cereep.fr","NPK","2017","1"," 8","cereep.fr_NPK_2017_1_ 8",0.776057692307692,0.0789102658781776,0.336538461538462,-5.56986123260266
"129","cereep.fr","NPK","2017","2","18","cereep.fr_NPK_2017_2_18",0.777719298245614,0.0950279720195158,0.614035087719298,-1.72248451742925
"130","cereep.fr","NPK","2017","3","28","cereep.fr_NPK_2017_3_28",0.840924369747899,0.13842315268955,0.411764705882353,-3.10034597194913
"131","cereep.fr","NPK","2019","1"," 8","cereep.fr_NPK_2019_1_ 8",0.817611940298507,0.0979021514500688,0.681592039800995,-1.38934536660191
"132","cereep.fr","NPK","2019","2","18","cereep.fr_NPK_2019_2_18",0.734206896551724,0.0657810231872865,0.682758620689655,-0.782114253765703
"133","cereep.fr","NPK","2019","3","28","cereep.fr_NPK_2019_3_28",0.893793103448276,0.0873639598975545,0.494252873563218,-4.57328434234861
"134","cereep.fr","NPK","2020","1"," 8","cereep.fr_NPK_2020_1_ 8",0.689015544041451,0.135661773818144,0.481865284974093,-1.52696115668549
"135","cereep.fr","NPK","2020","2","18","cereep.fr_NPK_2020_2_18",0.515631067961165,0.0944719300253041,0.41747572815534,-1.03898946257935
"136","cereep.fr","NPK","2020","3","28","cereep.fr_NPK_2020_3_28",0.847741935483871,0.174025452338098,0.387096774193548,-2.64699878725428
"137","chilcas.ar","Control","2013","1"," 5","chilcas.ar_Control_2013_1_ 5",0.926874221668742,0.166596507097002,0.133250311332503,-4.76374879741114
"138","chilcas.ar","Control","2013","2","20","chilcas.ar_Control_2013_2_20",0.900261437908497,0.211027834270716,0.189542483660131,-3.36789199730223
"139","chilcas.ar","Control","2013","3","29","chilcas.ar_Control_2013_3_29",0.788988764044944,0.100525941260092,0.820224719101124,0.310725317909363
"140","chilcas.ar","Control","2014","1"," 5","chilcas.ar_Control_2014_1_ 5",0.839557867360208,0.182869690124522,0.131339401820546,-3.8728039898652
"141","chilcas.ar","Control","2014","2","20","chilcas.ar_Control_2014_2_20",0.779607843137255,0.318120770325314,0.0562091503267974,-2.27397504435407
"142","chilcas.ar","Control","2014","3","29","chilcas.ar_Control_2014_3_29",0.62490243902439,0.0763254361290496,0.485365853658537,-1.82817933892873
