"","plot_id","site_code","trt","year","block","plot","bray","turnover","nestedness"
"bray","arch.us_Control_2015_1_ 1","arch.us","Control","2015","1"," 1",0.493150684931507,0.244897959183673,0.248252725747833
"bray1","arch.us_Control_2016_1_ 1","arch.us","Control","2016","1"," 1",0.463087248322148,0.393939393939394,0.0691478543827537
"bray2","arch.us_Control_2017_1_ 1","arch.us","Control","2017","1"," 1",0.161290322580645,0.122699386503067,0.0385909360775777
"bray3","arch.us_Control_2018_1_ 1","arch.us","Control","2018","1"," 1",0.147368421052632,0.138297872340426,0.00907054871220605
"bray4","arch.us_Control_2019_1_ 1","arch.us","Control","2019","1"," 1",0.0462962962962963,0.0373831775700935,0.00891311872620284
"bray5","arch.us_Control_2020_1_ 1","arch.us","Control","2020","1"," 1",0.276923076923077,0.0208333333333333,0.256089743589744
"bray6","arch.us_NPK_2015_1_ 8","arch.us","NPK","2015","1"," 8",0.198776758409786,0.196319018404908,0.00245774000487796
"bray7","arch.us_NPK_2016_1_ 8","arch.us","NPK","2016","1"," 8",0.287234042553192,0.172839506172839,0.114394536380352
"bray8","arch.us_NPK_2017_1_ 8","arch.us","NPK","2017","1"," 8",0.137440758293839,0.0319148936170213,0.105525864676818
"bray9","arch.us_NPK_2018_1_ 8","arch.us","NPK","2018","1"," 8",0.157407407407407,0.116504854368932,0.0409025530384754
"bray10","arch.us_NPK_2019_1_ 8","arch.us","NPK","2019","1"," 8",0.0918367346938776,0.0631578947368421,0.0286788399570354
"bray11","arch.us_NPK_2020_1_ 8","arch.us","NPK","2020","1"," 8",0.51219512195122,0.0909090909090909,0.421286031042129
"bray12","arch.us_Control_2015_2_11","arch.us","Control","2015","2","11",0.301818181818182,0.0495049504950495,0.252313231323132
"bray13","arch.us_Control_2016_2_11","arch.us","Control","2016","2","11",0.361930294906166,0.356756756756757,0.00517353814940946
"bray14","arch.us_Control_2017_2_11","arch.us","Control","2017","2","11",0.308823529411765,0.0784313725490196,0.230392156862745
"bray15","arch.us_Control_2018_2_11","arch.us","Control","2018","2","11",0.183908045977011,0.174418604651163,0.0094894413258487
"bray16","arch.us_Control_2019_2_11","arch.us","Control","2019","2","11",0.159090909090909,0.119047619047619,0.04004329004329
"bray17","arch.us_Control_2020_2_11","arch.us","Control","2020","2","11",0.338709677419355,0.163265306122449,0.175444371296906
"bray18","arch.us_NPK_2015_2_18","arch.us","NPK","2015","2","18",0.19672131147541,0.02,0.17672131147541
"bray19","arch.us_NPK_2016_2_18","arch.us","NPK","2016","2","18",0.4,0.313253012048193,0.0867469879518072
"bray20","arch.us_NPK_2017_2_18","arch.us","NPK","2017","2","18",0.285714285714286,0.13265306122449,0.153061224489796
"bray21","arch.us_NPK_2018_2_18","arch.us","NPK","2018","2","18",0.462686567164179,0.443298969072165,0.0193875980920142
"bray22","arch.us_NPK_2019_2_18","arch.us","NPK","2019","2","18",0.347368421052632,0.340425531914894,0.00694288913773796
"bray23","arch.us_NPK_2020_2_18","arch.us","NPK","2020","2","18",0.338345864661654,0.153846153846154,0.1844997108155
"bray24","arch.us_Control_2015_3_21","arch.us","Control","2015","3","21",0.236947791164659,0.15929203539823,0.0776557557664285
"bray25","arch.us_Control_2016_3_21","arch.us","Control","2016","3","21",0.248484848484848,0.126760563380282,0.121724285104567
"bray26","arch.us_Control_2017_3_21","arch.us","Control","2017","3","21",0.34,0.3125,0.0275
"bray27","arch.us_Control_2018_3_21","arch.us","Control","2018","3","21",0.284848484848485,0.253164556962025,0.0316839278864595
"bray28","arch.us_Control_2019_3_21","arch.us","Control","2019","3","21",0.171052631578947,0,0.171052631578947
"bray29","arch.us_Control_2020_3_21","arch.us","Control","2020","3","21",0.305785123966942,0.0232558139534884,0.282529310013454
"bray30","arch.us_NPK_2015_3_28","arch.us","NPK","2015","3","28",0.246684350132626,0.21978021978022,0.0269041303524062
"bray31","arch.us_NPK_2016_3_28","arch.us","NPK","2016","3","28",0.44529262086514,0.373563218390805,0.0717294024743353
"bray32","arch.us_NPK_2017_3_28","arch.us","NPK","2017","3","28",0.442786069651741,0.416666666666667,0.0261194029850746
"bray33","arch.us_NPK_2018_3_28","arch.us","NPK","2018","3","28",0.34375,0.329787234042553,0.0139627659574468
"bray34","arch.us_NPK_2019_3_28","arch.us","NPK","2019","3","28",0.251184834123223,0.21,0.0411848341232227
"bray35","arch.us_NPK_2020_3_28","arch.us","NPK","2020","3","28",0.466666666666667,0.0526315789473684,0.414035087719298
"bray36","bayr.de_Control_2017_1_ 9","bayr.de","Control","2017","1"," 9",0.524576271186441,0.37248322147651,0.152093049709931
"bray37","bayr.de_Control_2018_1_ 9","bayr.de","Control","2018","1"," 9",0.528205128205128,0.0416666666666667,0.486538461538462
"bray38","bayr.de_Control_2019_1_ 9","bayr.de","Control","2019","1"," 9",0.410958904109589,0.271186440677966,0.139772463431623
